"doaj_publishers","Freq"
"Bina Nusantara University",3
"Bilimsel Tip Yayinevi",3
"Bern Open Publishing",3
"Belarusian State University",3
"Athabasca University Press",3
"Aracne editrice",3
"Andalas University",3
"Anadolu University",3
"Amsterdam University Press",3
"American Society for Horticultural Science (ASHS)",3
"Akdeniz University",3
"Akadémiai Kiadó",3
"African Online Scientific Information Systems ",3
"Africa Development and Resources Research Institute (ADRRI)",3
"Aalborg Universitetsforlag",3
"""Alexandru Ioan Cuza"" University of Ia<U+0219>i",3
"Znanstvena založba FIlozofske fakultete Univerze v Ljubljani (Ljubljana University Press, Faculy of Arts)",2
"Zhytomyr State Technological University",2
"Zentraleinrichtung zur Förderung von Frauen- und Geschlechterforschung",2
"Zaporizhzhia National University",2
"Zanjan University of Medical Sciences and Health Services",2
"York University Libraries",2
"Yandy Scientific Press",2
"Wyzsza Szkola Gospodarki Euroregionalnej im. Alcide De Gasperi",2
"Wydawnictwo Naukowe Wydzialu Zarzadzania Uniwersytetu Warszawskiego",2
"Wydawnictwo Naukowe Uniwersytetu Pedagogicznego",2
"Wydawnictwo Adam Marszalek",2
"Wroclaw Medical University Press",2
"WikiJournal User Group",2
"West Pomeranian University of Technology",2
"Warmadewa Press",2
"Walisongo State Islamic University",2
"VOLKSON PRESS",2
"VINCA Institute of Nuclear Sciences",2
"Vilnius University",2
