PUBLISHER_NAME;PUBLISHER_FILENAME;PUBLISHER_MODE;PUBLISHER_URL;PUBLISHER_PAGES;PUBLISHER_PAGES_NR;PUBLISHER_RESULTS_NODE;PUBLISHER_RESULTS_REGEX;PUBLISHER_RESULTS_ADDCODE_YESNO;PUBLISHER_RESULTS_ADDITIONAL_CODE;PUBLISHER_RESULTS_PER_PAGE;PUBLISHER_PAGE_URL_BEFORE;PUBLISHER_PAGE_URL_AFTER;PUBLISHER_PAGE_I;JOURNALNAME_CSS;JOURNALNAMES_ADDCODE_YESNO;JOURNALNAMES_ADDITIONAL_CODE;JOURNAL_URL_NODES;JOURNALURL_ADDCODE_YESNO;JOURNALURL_ADDITIONAL_CODE;JOURNALURL_PASTE;COMMENT;OTHER
Hogrefe;hogrefe;rvest;https://www.hogrefe.com/us/journals;single;single;;;0;;;;;;div.columns.site-content a.teaser-box > h2;0;;div.columns.site-content a.teaser-box;0;;https://www.hogrefe.com;fine;
University of California Press;ucpress;rvest;https://online.ucpress.edu/journals#journal-list;single;single;;;0;;;;;;div.homepage-panel-text > h3 > a;0;;div.homepage-panel-text > h3 > a;0;;https://online.ucpress.edu;fine;
Edinburgh University Press;edinburgh;rvest;;MULTIPLE;3;;;0;;;https://euppublishing.com/action/showPublications?startPage=;;i-1;div.pubTitle > a;0;;div.pubTitle > a;0;;https://euppublishing.com;fine;
Universidad de Murcia;unimurcia;rvest;https://revistas.um.es/;single;single;;;0;;;;;;div.journals > ul > li h3 > a;0;;div.journals > ul > li h3 > a;0;;;fine;
University of Toronto Press;utoronto;rvest;https://utpjournals.press/journals;single;single;;;0;;;;;;div.bigger-letters ul li a;0;;div.bigger-letters ul li a;0;;https://utpjournals.press;fine;
Universidad Complutense Madrid;ucm;rvest;https://revistas.ucm.es/;single;single;;;0;;;;;;#materias div.panel-body > div > a;0;;#materias div.panel-body > div > a;0;;https://revistas.ucm.es;fine;
AOSIS;aosis;rvest;https://aosis.co.za/journal-collection/;single;single;;;0;;;;;;h3.wpdaddy_portfolio_list__title;0;;div.wpdaddy_portfolio_list__content > a;0;;https://aosis.co.za/journal-collection;fine;
Begell House;begell;rvest;https://www.begellhouse.com/journals/;single;single;;;0;;;;;;div.products-list-info a.products-list-title;0;;div.products-list-info a.products-list-title;0;;https://www.begellhouse.com;COMPLICATED;
Indiana University Press;uindiana;rvest;;MULTIPLE;5;;;0;;;https://iupress.org/journals/page/;/;i;#page h2.entry-title > a;0;;#page h2.entry-title > a;0;;;fine;
Universitas Gadjah Mada;ugm;rvest;https://jurnal.ugm.ac.id/;single;single;;;0;;;;;;#content > h3;0;;"//div[@class=""content""]/a[following-sibling::text()[contains(., ""View Journal"")]]";0;;;error with xpath;
Alma Mater Studiorum Università di Bologna;bologna;rvest;https://journals.unibo.it/;single;single;;;0;;;;;;div.body > h3 > a;0;;div.body > h3 > a;0;;;fine;
Canadian Center of Science and Education;ccse;rvest;http://www.ccsenet.org/journal/;single;single;;;0;;;;;;#journalMainContent > ul.list-group > li > a;0;;#journalMainContent > ul.list-group > li > a;0;;http://www.ccsenet.org;fine;
Universidade Federal de Santa Catarina;ufsc;rvest;https://periodicos.bu.ufsc.br/periodicos-de-a-a-z/;single;single;;;0;;;;;;h4 a:last-of-type;1;"journalnames <- sub(""[[:blank:]]+$"", """", journalnames); journalnames <- stringi::stri_remove_empty(journalnames)";h4 a:last-of-type;0;;;error with number of journals/links;
University of Pittsburgh;pitt;rvest;https://library.pitt.edu/publications;single;single;;;0;;;;;;div.views-field > h3.field-content > a;0;;div.views-field > h3.field-content > a;0;;;fine;
Baishideng;baishideng;rvest;https://www.wjgnet.com/bpg/journals.htm;single;single;;;0;;;;;;div.bgpjournals > table > tbody > tr > td:nth-child(3) > a;0;;div.bgpjournals > table > tbody > tr > td:nth-child(3) > a;0;;https://www.wjgnet.com;COMPLICATED;
Berghahn;berghahn;rvest;https://www.berghahnjournals.com/page/journals;single;single;;;0;;;;;;#pageContent > div > div.blocks.row > div > a > img;1;journalnames <- rvest::html_attr(journalnames, 'alt');#pageContent > div > div.blocks.row > div > a;0;;https://www.berghahnjournals.com;fine;SESSION_REQUIRED-and-OMIT_NAME_TEXT
Institut d'Estudis Catalans;iec;rvest;http://revistes.iec.cat/;single;single;;;0;;;;;;td > a;0;;td > a;0;;;(not working … something with session I guess);SESSION_REQUIRED
ICE Virtual Library;ice;rvest;https://www.icevirtuallibrary.com/action/showPublications?pubType=journal&pageSize=50&startPage=0;single;single;;;0;;;;;;ol.browse-results h4 a;0;;ol.browse-results h4 a;0;;https://www.icevirtuallibrary.com;fine;
CSIRO;csiro;rvest;https://www.publish.csiro.au/journals/all;single;single;;;0;;;;;;#mainContent ul > li > a;0;;#mainContent ul > li > a;0;;https://www.publish.csiro.au;fine;
Tehran University of Medical Sciences;tehran;rvest;https://journals.tums.ac.ir/en;single;single;;;0;;;;;;ul > li > h2 > a;0;;ul > li > h2 > a;0;;;fine;
Mark Allen Group;markallen;rvest;https://www.magonlinelibrary.com/action/showPublications?pubType=journal&pageSize=50;single;single;;;0;;;;;;main > div.main-container div > ul > li h4 > a;0;;main > div.main-container div > ul > li h4 > a;0;;https://www.magonlinelibrary.com;fine;
University of Illinois Press;uillinois;rvest;https://www.press.uillinois.edu/journals/journals_browse.html;single;single;;;0;;;;;;#main-content > div.journals-wrapper > div > a > div.title_data;0;;#main-content > div.journals-wrapper > div > a;0;;https://www.press.uillinois.edu;COMPLICATED;
E-Cronicon;ecronicon;rvest;https://www.ecronicon.com/journals.php;single;single;;;0;;;;;;#jcontent > li > a;0;;#jcontent > li > a;0;;https://www.ecronicon.com/;fine;
American Institute of Physics;aip;rvest;https://aip.scitation.org/;single;single;;;0;;;;;;span.journal-title > a;0;;span.journal-title > a;0;;https://aip.scitation.org;fine;
